B5,0,16:30:00,16:30:00,0,F,2018-04-21
G1,0,10:00:00,10:00:00,1,M,2018-04-21
G2,0,11:30:00,11:30:00,2,F,2018-04-21
G3,0,13:00:00,13:00:00,4,M,2018-04-21
G4,1,15:00:00,14:30:00,3,F,2018-04-21
G5,0,16:30:00,16:30:00,0,M,2018-04-21
B1,0,10:00:00,10:00:00,1,F,2018-04-28
B2,0,11:30:00,11:30:00,2,M,2018-04-28
B3,1,13:30:00,13:00:00,6,F,2018-04-28
B4,0,15:00:00,15:00:00,3,M,2018-04-28
B5,0,16:30:00,16:30:00,0,F,2018-04-28
G1,0,10:00:00,10:00:00,1,M,2018-04-28
G2,0,11:30:00,11:30:00,2,F,2018-04-28
G3,0,13:00:00,13:00:00,4,M,2018-04-28
G4,1,15:00:00,14:30:00,3,F,2018-04-28
G5,0,16:30:00,16:30:00,0,M,2018-04-28
